Film,Year,Script Type,Primary Genre,Genres,Distributor,Rotten Tomatoes Audience ,Rotten Tomatoes Critics,Metacritic Critics,Average Critics,Metacritic Audience,Opening Weekend ($),Opening Weekend ($million),Domestic Gross,Domestic Gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),Budget Recovered (Percentage),Budget Recovered Opening Weekend (Percentage)
Imagine That ,2009,original screenplay,nan,"comedy, family",nan,44,38,54,46,57,5500000,5.5,16120000,16.12,6.86,6860000,22990000,22.99,55,41.8,10
Immortals,2011,adaptation,nan,"action, fantasy",nan,59,36,46,41,60,32210000,32.21,83500000,83.5,143.4,143400000,226900000,226.9,75,302.53,42.95
In Time,2011,original screenplay,nan,"action, sci-fi, thriller",nan,55,38,53,46,63,12050000,12.05,37520000,37.52,136.41,136410000,173930000,173.93,40,434.83,30.13
In the Heart of the Sea,2015,adaptation,nan,drama,nan,57,43,47,45,70,11053366,11.05,24760350,24.76,65.6,65600000,90360350,90,100,90.36,11.05
In the Land of Women,2007,original screenplay,nan,drama,nan,52,43,47,45,53,4712341,4.71,11052958,11.05,6.51,6509113,17562071,18,10,175.62,47.12
In the Land of Women,2007,original screenplay,nan,drama,nan,52,43,47,45,53,4712341,4.71,11052958,11.05,6.51,6509113,17562071,18,10,175.62,47.12
Incarnate,2016,original screenplay,nan,Horror,nan,21,14,30,22,39,2534884,2.53,4799774,5,1.54,1542081,6341855,6.34,5,127,50.7
Inception,2010,original screenplay,nan,"action, adventure, mystery",nan,93,86,74,80,86,62800000,62.8,292580000,292.58,532.96,532960000,825540000,825.54,160,515.96,39.25
Incredibles 2,2018,sequel,nan,adventure,nan,87,93,80,87,82,182687905,182.7,597247671,597,545,545340438,1142588109,11426,200,571.29,91.34
Independence Day: Resurgence,2016,sequel,nan,Action,nan,32,31,32,31.5,46,41039944,41.04,103144286,103.14,286.52,286523020,389667306,389.67,165,236,24.87
Inferno,2016,adaptation,nan,thriller,nan,41,20,42,31,56,14860425,14.86,31847432,31.85,178.58,178581184,210428616,210.43,75,281,19.81
Inglourious Basterds ,2009,original screenplay,nan,"adventure, war",nan,87,88,69,79,78,38000000,38,120500000,120.5,200.91,200910000,321410000,321.41,70,459.16,54.29
Ingrid Goes West,2017,original screenplay,nan,comedy,nan,73,85,71,78,73,135301,0.14,3024308,3.02,0,0,3024308,3.02,3,100.81,4.51
Inkheart ,2009,adaptation,nan,"adventure, family, fantasy",nan,51,39,50,45,59,7600000,7.6,17300000,17.3,45.14,45140000,62440000,62.44,60,104.07,12.67
Inside Llewyn Davis,2013,adaptation,nan,"Drama, Music",nan,73,94,92,93,75,405411,0.41,12235319,12.24,19.7,19700000,32935319,33,11,299.41,3.69
Inside Out,2015,original screenplay,nan,animation,nan,90,98,94,96,88,90440272,90.44,355597857,355.6,486.9,486900000,842497857,842,175,481.43,51.68
Insidious,2011,original screenplay,nan,"horror, thriller",nan,65,67,52,60,70,13270000,13.27,54010000,54.01,43,43000000,97010000,97.01,1.5,6467.33,884.67
Insidious: Chapter 3,2015,sequel,nan,horror,nan,54,60,52,56,68,22692741,22.69,52218558,52.22,57.3,57300000,109518558,110,10,1095.19,226.93
Insidious: The Last Key,2018,sequel,nan,horror,nan,56,33,49,41,53,29581355,29.6,67347895,67,100,100353053,167700948,1677,10,1677.01,295.81
Insidiuous Chapter 2,2013,sequel,nan,"Thriller, Horror",nan,57,38,40,39,69,40272103,40.27,83586447,83.59,78.33,78332871,161919318,162,5,3238.39,805.44
Instant Family,2018,based on a true story,nan,comedy,nan,79,82,57,70,70,14504315,14.5,66220028,66,10,9724832,75944860,759,48,158.22,30.22
Instructions Not Included,2013,original screenplay,nan,"Drama, Comedy",nan,89,56,55,56,77,7846426,7.85,44467207,44.47,54.6,54600000,99067206,99,6,1801.22,142.66
Insurgent,2015,adaptation,nan,"action, adventure",nan,61,30,42,36,54,52263680,52.26,130179072,130.18,166.82,166823455,297002527,297,110,270,47.51
Interstellar,2014,original screenplayÃ,nan,"action, adventure, sci-fi, mystery",nan,86,72,74,73,84,47510360,47.51,188020017,188.02,484.7,484700000,672720017,673,165,407.71,28.79
Into The Storm,2014,original screenplayÃ,nan,"action, thriller",nan,43,22,44,33,52,17346427,17.35,47602194,47.6,113,113000000,160602194,161,50,321.2,34.69
Into the Wild,2007,adaptation,nan,adventure,nan,89,82,73,78,82,212440,0.21,18354356,18.35,37.28,37280210,55634566,56,15,370.9,1.42
Into the Wild,2007,adaptation,nan,adventure,nan,89,82,73,78,82,212440,0.21,18354356,18.35,37.28,37280210,55634566,56,15,370.9,1.42
Into the Woods,2014,adaptation,nan,"adventure, fantasy, comedy, family, musical",nan,51,71,69,70,61,31051923,31.05,128002372,128,76.3,76300000,204302372,204,50,408.6,62.1
Invictus,2009,adaptation,nan,"biography, history",nan,74,75,74,75,72,8600000,8.6,37490000,37.49,84.74,84740000,122230000,122.23,60,203.72,14.33
Iron Man 2,2010,sequel,nan,"action, adventure, sci-fi",nan,80,74,57,66,66,128100000,128.1,312430000,312.43,311.5,311500000,623930000,623.93,200,311.97,64.05
Iron Man 3,2013,sequel,nan,"Action, Adventure, Sci-Fi, Thriller, Fantasy",nan,79,79,62,71,64,174144585,174,409013994,409,806,805797258,1215439994,1215,200,607.72,87.07
Isn't It Romantic,2019,original screenplay,nan,"fantasy, comedy, romance",Warner Bros. Pictures,50,69,60,65,57,14247758,14.2,48429584,48.4,0,0,48429584,48.4,31,156.22,45.81
It,2017,adaptation,nan,horror,nan,85,85,70,78,80,123403419,123.4,327475366,327.48,368.2,368200000,695675366,695.68,35,1987.64,352.58
It Comes At Night,2017,original screenplay,nan,horror,nan,43,88,78,83,62,5988370,5.99,13985117,13.99,5.3,5295814,19280931,19.28,2.4,803.37,249.52
It Follows,2015,original screenplay,nan,horror,nan,65,96,83,90,76,3811052,3.81,14674076,14.67,1.6,1600000,16274076,16,2,813.7,190.55
It's Complicated ,2009,original screenplay,nan,"comedy, romance",nan,63,56,57,57,53,22100000,22.1,112730000,112.73,106.37,106370000,219100000,219.1,85,257.76,26
It: Chapter Two,2019,sequel,nan,horror,Warner Bros. Pictures,78,62,58,60,65,91062152,91.1,211591984,211.6,258.9,258900000,470491984,470.5,79,595.56,115.32
J.Edgar,2011,based on a true story,nan,"biography, crime",nan,84,42,59,51,65,11220000,11.22,37310000,37.31,47.3,47300000,84610000,84.61,35,241.74,32.06
Jack Reacher,2012,adaptation,nan,"action, crime, thriller",nan,67,61,50,56,62,15210156,15.21,80070736,80.07,138.27,138269859,218340595,218,60,363.9,25.35
Jack Reacher: Never Go Back,2016,sequel,nan,Action,nan,49,38,47,42.5,55,22872490,22.87,54826162,54.83,81.65,81653924,136480086,136.48,60,227,38.12
Jack Ryan: Shadow Recruit,2014,adaptation,nan,"action, drama, mystery, thriller",nan,53,56,57,57,60,15451981,15.45,50577412,50.58,84.93,84933618,135511030,136,60,225.85,25.75
Jack and Jill,2011,original screenplay,nan,comedy,nan,59,4,23,14,27,25000000,25,74160000,74.16,75.52,75520000,149680000,149.68,79,189.47,31.65
Jack the Giant Slayer,2013,adaptation,nan,"Adventure, Drama, Fantasy, Romance",nan,55,52,51,52,61,27202226,27.2,65187603,65.19,132.5,132500000,197687603,198,195,101.38,13.95
Jackass 3-D,2010,sequel,nan,"documentary, action, comedy",nan,72,63,56,60,74,50400000,50.4,117230000,117.23,54.46,54460000,171690000,171.69,20,858.45,252
Jackass Presents: Bad Grandpa,2013,sequel,nan,"Comedy, Documentary ",nan,61,60,54,57,66,32055177,32.06,102003019,102,49.83,49828518,151831537,152,15,1012.21,213.7
Jackie,2016,based on a true story,nan,Drama,nan,73,86,81,83.5,79,278715,0.28,10468089,10,0.59,587351,11055440,11.06,9,123,3.1
Jane Eyre,2011,adaptation,nan,romance,nan,77,85,76,81,71,180000,0.18,11240000,11.24,23.47,23470000,34710000,34.71,20,173.55,0.9
Jason Bourne,2016,sequel,nan,Action,nan,59,56,58,57,65,59215365,59.22,162192920,162.19,253.05,253050504,415243424,415.24,120,346,49.35
Jay and Silent Bob Reboot,2019,sequel,nan,comedy,Saban Films,94,71,46,59,61,93520,0.1,2801841,2.8,0.1,99748,2901589,2.9,10,29.02,1
Jennifer's Body ,2009,original screenplay,nan,"comedy, horror",nan,37,42,47,45,55,6900000,6.9,16200000,16.2,15.35,15350000,31550000,31.55,16,197.19,43.13
Jersey Boys,2014,adaptation,nan,"biography, drama, music, musical",nan,63,53,54,54,69,13319371,13.32,47047013,47.05,20.3,20300000,67347013,67,40,168.37,33.3
Jexi,2019,original screenplay,nan,comedy,Lionsgate,71,11,39,25,21,3106730,3.1,6546159,6.5,0.9,906254,7452413,7.5,5,149.05,62
Jigsaw,2017,sequel,nan,horror,nan,92,34,39,37,60,16640452,16.64,37899565,37.9,63.12,63120449,101020014,101.02,10,1010.2,166.4
John Carter,2012,adaptation,nan,"action, adventure, fantasy",nan,60,51,51,51,70,30180188,30.18,73078100,73.08,211.06,211061000,284139100,284,250,113.66,12.07
John Wick,2014,original screenplayÃ,nan,"action, thriller",nan,80,85,68,77,79,14415922,14.42,43037835,43.04,35.7,35702062,78739897,79,20,393.7,72.08
John Wick: Chapter 3 - Parabellum,2019,sequel,nan,action,Lionsgate,86,90,73,82,78,56818067,56.8,171015687,171,155.7,155679317,326695004,326.7,75,435.59,75.73
John Wick: Chapter Two,2017,sequel,nan,action,nan,85,89,75,82,81,30436123,30.44,92029184,92.03,79.51,79510703,171539887,171.54,40,428.85,76.09
Johnny English Reborn,2011,sequel,nan,"adventure, comedy, crime",nan,55,38,46,42,63,3830000,3.83,8310000,8.31,151.77,151770000,160080000,160.08,45,355.73,8.51
Jojo Rabbit,2019,adaptation,nan,comedy,Fox Searchlight,95,79,58,69,62,349555,0.3,18647613,18.6,2.6,2587705,21235318,21.2,14,151.68,2.14
Joker,2019,adaptation,nan,thriller,Warner Bros. Pictures,88,69,59,64,92,96202337,96.2,330964838,331,722.8,722800000,1053764838,1053.8,55,1915.94,174.91
Jonah Hex,2010,adaptation,nan,"action, fantasy ",nan,24,13,33,23,46,5400000,5.4,10550000,10.55,0.36,360000,10910000,10.91,47,23.21,11.49
Journey 2: The Mysterious Island,2012,sequel,nan,"action, adventure, comedy",nan,60,52,41,47,58,27335363,27.34,103860290,103.86,231.4,231400000,335260290,335,79,424.38,34.6
Joy ,2015,original screenplay,nan,Drama,nan,57,60,56,58,65,17015168,17,56451232,56.45,44.68,44682827,101134059,101.13,65,156,26.18
Judy,2019,based on a true story,nan,drama,Roadside Attractions,85,83,66,75,70,2916548,2.9,23898614,23.9,13.3,13293898,37192512,37.2,175,21.25,1.66
Julie & Julia ,2009,adaptation,nan,"biography, romance",nan,69,74,66,70,73,20000000,20,94120000,94.12,32.45,32450000,126570000,126.57,40,316.43,50
Jumanji: The Next Level,2019,sequel,nan,"action, adventure, comedy",Sony Pictures,87,71,58,65,64,59251543,59.3,192076805,192.1,297.3,297295047,489371852,489.4,125,391.5,47.44
Juno,2007,original screenplay,nan,"comedy, drama",nan,88,94,81,88,83,413869,0.41,143495265,143.5,87.69,87688908,231184173,231,8,3082.46,5.52
Juno,2007,original screenplay,nan,"comedy, drama",nan,88,94,81,88,83,413869,0.41,143495265,143.5,87.69,87688908,231184173,231,8,3082.46,5.52
Jupiter Ascending,2015,original screenplay,nan,sci-fi,nan,40,26,40,33,45,18372372,18.37,47387723,47.39,136.5,136500000,183887723,184,176,104.48,10.44
Jurassic World,2015,sequel,nan,"sci-fi, horror",nan,80,71,59,65,69,208806270,208.81,652050585,652.05,1014,1014000000,1666050585,1666,150,1110.7,139.2
Jurassic World: Dominion,2022,nan,action,"adventure, sci-fi, thriller",Universal Pictures,77,29,38,34,49,145075625,145.1,376851080,376.9,626.8,626849584,1003700664,1003.7,165,608.3,87.92
Jurassic World: Fallen Kingdom,2018,sequel,nan,action,nan,54,50,51,51,58,148024610,148,413080780,413,882,881574397,1294655177,12947,170,761.56,87.07
Just Getting Started,2017,original screenplay,nan,"action, comedy",nan,17,5,21,13,41,3201459,3.2,4278904,4.28,0,0,4278904,4.28,22,19.45,14.55
Just Go With It,2011,adaptation,nan,"comedy, romance",nan,63,19,33,26,64,30510000,30.51,103030000,103.03,111.92,111920000,214950000,214.95,80,268.69,38.14
Just Mercy,2020,based on a true story,drama,nan,Warner Bros. Pictures,99,85,68,77,70,107858,0.1,36001502,36,14.4,14393271,50394773,50.4,25,201.58,0.4
Just Wright,2010,original screenplay,nan,"comedy, romance, sport",nan,58,45,51,48,54,8300000,8.3,21540000,21.54,0.03,30000,21570000,21.57,12,179.75,69.17
Justice League,2017,adaptation,nan,"action, adventure",nan,80,40,45,43,69,93842239,93.84,214723646,214.72,402.6,402600000,617323646,617.32,300,205.77,31.28
Keanu,2016,original screenplay,nan,Comedy,nan,57,76,63,69.5,64,9453224,9.45,20591853,20.59,0.02,18124,20609977,20.61,15,137,63.02
Keeping Up with the Joneses,2016,original screenplay,nan,Comedy,nan,46,19,34,26.5,51,5461475,5.46,14319483,14.32,13.91,13912424,28231907,28.23,40,71,13.65
Kevin Hart: Let Me Explain,2013,original screenplay,nan,"Comedy, Documentary",nan,72,63,53,58,63,10030463,10.03,32244051,32.24,0.07,74000,32318051,32,3,1292.72,401.22
Kick-Ass,2010,adaptation,nan,"action, comedy",nan,83,76,66,71,83,19800000,19.8,48070000,48.07,48.12,48120000,96190000,96.19,30,320.63,66
Kick-Ass 2,2013,sequel,nan,"Action, Thriller, Comedy, Crime",nan,58,30,41,36,72,13332955,13.33,28795985,28.8,32,32000000,60795985,61,28,217.13,47.62
Kidnap ,2017,original screenplay,nan,"action, thriller",nan,51,38,44,41,46,10016323,10.02,30718107,30.72,0,0,30718107,30.72,21,146.28,47.7
Kill Your Darlings,2013,based on a true story,nan,"Biography, Drama, Thriller, Romance",nan,60,76,65,71,67,53452,0.05,1030064,1.03,0.6,600000,1030065,1,2,51.5,2.67
Killer Elite,2011,adaptation,nan,"action, crime, thriller",nan,48,25,44,35,57,9350000,9.35,25120000,25.12,31.26,31260000,56380000,56.38,70,80.54,13.36
Killers,2010,original screenplay,nan,"action, comedy, romance",nan,45,11,21,16,38,15800000,15.8,47060000,47.06,51.1,51100000,98160000,98.16,75,130.88,21.07
Killing Them Softly,2012,adaptation,nan,"crime, thriller",nan,44,75,64,70,59,6812900,6.81,15026056,15.03,22.9,22904409,37930465,38,15,252.87,45.42
King Arthur: Legend of the Sword,2017,original screenplay,nan,adventure,nan,69,29,41,35,72,15371270,15.37,39175066,39.18,109.5,109500000,148675066,148.68,175,84.96,8.78
Kingsman: The Golden Circle,2017,"sequel, adaptation",nan,"action, comedy",nan,68,51,44,48,66,39023010,39.02,100148463,100.15,295.22,295224607,395373070,395.37,104,380.17,37.52
Knight and Day,2010,original screenplay,nan,"action, comedy, romance",nan,52,53,46,50,64,20200000,20.2,76420000,76.42,185.51,185510000,261930000,261.93,117,223.87,17.26
Knives Out,2019,original screenplay,nan,drama,Lionsgate,92,97,82,90,69,26769548,26.8,47628053,47.6,60.6,60600000,108228053,108.2,40,270.57,67
Knocked Up,2007,original screenplay,nan,romantic comedy,nan,83,91,85,88,67,30690990,30.69,148768917,148.77,70.23,70232344,219001261,219,33,663.64,93
Knocked Up,2007,original screenplay,nan,romantic comedy,nan,83,91,85,88,67,30690990,30.69,148768917,148.77,70.23,70232344,219001261,219,33,663.64,93
Knowing ,2009,original screenplay,nan,"mystery, sci-fi",nan,50,33,41,37,61,24600000,24.6,79950000,79.95,103.63,103630000,183580000,183.58,50,367.16,49.2
Kong: Skull Island,2017,remake,nan,"action, adventure",nan,70,76,62,69,67,61025472,61.03,168052812,168.05,398.6,398600000,566652812,566.65,185,306.3,32.99
Krampus,2015,adaptation,nan,"horror, comedy",nan,60,65,49,57,74,16293325,16.29,42725475,42.73,19.02,19020015,61745490,62,15,411.64,108.62
Kubo & the Two Strings,2016,original screenplay,nan,Adventure,nan,87,97,84,90.5,81,12608372,12.61,47905443,47.91,21.47,21471863,69377306,69.38,60,116,21.01
Kung Fu Panda 2,2011,sequel,nan,"animation, action, adventure",nan,80,82,67,75,76,47660000,47.66,165250000,165.25,500.44,500440000,665690000,665.69,150,443.79,31.77
Kung Fu Panda 3,2016,sequel,nan,Adventure,nan,79,87,66,76.5,75,41282042,41.28,143528619,143.53,376.35,376352736,519881355,519.88,140,371,29.49
La La Land,2016,original screenplay,nan,Musical,nan,89,92,93,92.5,89,9242782,9.24,38922894,39,27.8,27800000,66722894,66.72,30,222,30.81
Lady Bird,2017,original screenplay,nan,"comedy, drama",nan,84,99,94,97,81,364437,0.36,23531261,23.53,0,0,23531261,23.53,10,235.31,3.64
Land of the Lost ,2009,adaptation,nan,"adventure, comedy, sci-fi",nan,38,26,32,29,49,18800000,18.8,49430000,49.43,19.34,19340000,68770000,68.77,100,68.77,18.8
Larry Crowne,2011,original screenplay,nan,"comedy, romance",nan,46,34,41,38,58,13100000,13.1,35610000,35.61,36.4,36400000,72010000,72.01,30,240.03,43.67
Last Christmas,2019,original screenplay,nan,"romance, comedy",Universal Pictures,81,47,50,49,49,11441055,11.4,32280165,32.3,51.3,51300000,83580165,83.6,25,334.32,45.6
Last Vegas,2013,original screenplay,nan,Comedy,nan,60,46,48,47,70,16334566,16.33,63914167,63.91,70.49,70488283,134402450,134,28,480.01,58.34
Late Night,2019,original screenplay,nan,comedy,Amazon Studios,77,80,70,75,59,246305,0.2,15500045,15.5,6.9,6887012,22387057,22.4,4,559.68,5
Law Abiding Citizen ,2009,original screenplay,nan,"crime, thriller",nan,77,25,34,30,66,21000000,21,73400000,73.4,53.08,53080000,126480000,126.48,53,238.64,39.62
Lawless,2012,adaptation,nan,crime ,nan,75,67,58,63,70,10001982,10,37400127,37.4,16.28,16276453,53676580,54,26,206.45,38.47
Lean on Pete,2018,adaptation,nan,drama,nan,73,92,80,86,75,46975,0,1163056,1,0,0,1163056,12,8,14.54,0.59
Leap Year,2010,original screenplay,nan,"comedy, romance",nan,49,21,33,27,54,9200000,9.2,25920000,25.92,6.69,6690000,32610000,32.61,19,171.63,48.42
Leap!,2017,original screenplay,nan,animation,nan,63,37,48,43,64,4730038,4.73,21858070,21.86,84.2,84197417,106055487,106.06,30,353.52,15.77
Lee Daniels' The Butler,2013,based on a true story,nan,"Biography, Drama, History",nan,78,72,66,69,67,24637312,24.64,116632095,116.63,59.97,59966813,176598908,177,30,588.66,82.12
Left BehindÃ,2014,adaptation,nan,thriller,nan,44,2,12,7,29,6300147,6.3,14019924,14.02,5.66,5663000,19682924,20,16,123.02,39.38
Legend of the Guardians: The Owls of Ga'Hoole,2010,adaptation,nan,"animation, adventure, fantasy",nan,65,51,53,52,69,16100000,16.1,55680000,55.68,84.4,84400000,140080000,140.08,80,175.1,20.13
Legion,2010,original screenplay,nan,"action, fantasy, horror",nan,36,19,32,26,44,17500000,17.5,40170000,40.17,27.75,27750000,67920000,67.92,26,261.23,67.31
Les Miserables (2012),2012,adaptation,nan,"musical, romance",nan,79,70,63,67,73,27281735,27.28,148809770,148.81,293,293000000,441809770,442,61,724.28,44.72
Let Him Go,2020,adaptation,crime,nan,Focus Features,76,84,63,74,61,4000470,4,9358025,9.4,1.4,1414982,10773007,10.8,21,51.3,19.05
Let's Be Cops,2014,original screenplayÃ,nan,"action, comedy",nan,53,18,30,24,65,17813722,17.81,82390774,82.39,55.22,55223280,137614054,138,17,809.49,104.79
Letters to Juliet,2010,adaptation,nan,"comedy, romance",nan,62,40,50,45,60,13500000,13.5,53030000,53.03,26.15,26150000,79180000,79.18,30,263.93,45
License to Wed,2007,original screenplay,nan,romantic comedy,nan,53,8,25,17,46,10422258,10.42,43799818,43.8,25.51,25507406,69307224,69,35,198.02,29.78
License to Wed,2007,original screenplay,nan,romantic comedy,nan,53,8,25,17,46,10422258,10.42,43799818,43.8,25.51,25507406,69307224,69,35,198.02,29.78
Life ,2017,original screenplay,nan,"sci-fi, thriller",nan,55,67,54,61,63,12501936,12.5,30234022,30.23,70.31,70307784,100541806,100.54,58,173.35,21.56
Life as We Know It,2010,original screenplay,nan,"comedy, romance",nan,62,28,39,34,55,14500000,14.5,53130000,53.13,43.03,43030000,96160000,96.16,52.274,183.95,27.74
Life of Pi,2012,adaptation,nan,"adventure, fantasy",nan,85,87,79,83,78,22451514,22.45,124987023,124.99,484.03,484029542,609016565,609,120,507.51,18.71
Life of the Party,2018,original screenplay,nan,comedy,nan,41,38,46,42,46,17886075,17.9,52856061,53,13,12800000,65656061,657,30,218.85,59.62
Lights Out,2016,original screenplay,nan,Horror,nan,64,77,58,67.5,69,21688103,21.69,67268835,67.27,81.5,81500000,148768835,148.77,4.9,3036,442.61
Lightyear,2022,nan,action,"adventure, sci-fi, drama, fantasy, comedy, animation, family",Walt Disney Studios Motion Pictures,84,74,60,67,41,50577961,50.6,118307188,118.3,100.5,100461111,218768299,218.8,200,109.38,25.29
Like a Boss,2020,original screenplay,comedy,nan,Paramount Pictures,65,22,33,28,34,10011272,10,22169514,22.2,4.4,4394374,26563888,26.6,29,91.6,34.48
Limitless,2011,adaptation,nan,"mystery, sci-fi, thriller",nan,73,69,59,64,72,18910000,18.91,79250000,79.25,82.6,82600000,161850000,161.85,27,599.44,70.04
Lincoln,2012,adaptation,nan,"biography, history",nan,81,90,86,88,75,944308,0.94,182207973,182.21,93.09,93085477,275293450,275,65,423.53,1.45
